year_month	county	hd	sd	cd	party	count
10/1/2014	HARNEY	60	30	2	Republican	2191
10/1/2014	HOOD RIVER	52	26	2	Democrat	4707
10/1/2014	HOOD RIVER	52	26	2	Independent Party	521
10/1/2014	HOOD RIVER	52	26	2	NAV+	3272
10/1/2014	HOOD RIVER	52	26	2	Republican	2947
10/1/2014	JACKSON	2	1	2	Democrat	243
10/1/2014	JACKSON	2	1	2	Independent Party	74
10/1/2014	JACKSON	2	1	2	NAV+	244
10/1/2014	JACKSON	2	1	2	Republican	385
10/1/2014	JACKSON	4	2	2	Democrat	7488
10/1/2014	JACKSON	4	2	2	Independent Party	1975
10/1/2014	JACKSON	4	2	2	NAV+	7762
10/1/2014	JACKSON	4	2	2	Republican	13729
10/1/2014	JACKSON	5	3	2	Democrat	17937
10/1/2014	JACKSON	5	3	2	Independent Party	2247
10/1/2014	JACKSON	5	3	2	NAV+	10656
10/1/2014	JACKSON	5	3	2	Republican	11327
10/1/2014	JACKSON	6	3	2	Democrat	9808
10/1/2014	JACKSON	6	3	2	Independent Party	2080
10/1/2014	JACKSON	6	3	2	NAV+	8745
10/1/2014	JACKSON	6	3	2	Republican	12926
10/1/2014	JACKSON	55	28	2	Democrat	2883
10/1/2014	JACKSON	55	28	2	Independent Party	707
10/1/2014	JACKSON	55	28	2	NAV+	2996
10/1/2014	JACKSON	55	28	2	Republican	5479
10/1/2014	JEFFERSON	59	30	2	Democrat	3052
10/1/2014	JEFFERSON	59	30	2	Independent Party	593
10/1/2014	JEFFERSON	59	30	2	NAV+	2472
10/1/2014	JEFFERSON	59	30	2	Republican	3968
10/1/2014	JOSEPHINE	1	1	4	Democrat	642
10/1/2014	JOSEPHINE	1	1	4	Independent Party	139
10/1/2014	JOSEPHINE	1	1	4	NAV+	760
10/1/2014	JOSEPHINE	1	1	4	Republican	962
10/1/2014	JOSEPHINE	2	1	4	Democrat	822
10/1/2014	JOSEPHINE	2	1	4	Independent Party	221
10/1/2014	JOSEPHINE	2	1	4	NAV+	884
10/1/2014	JOSEPHINE	2	1	4	Republican	1498
10/1/2014	JOSEPHINE	3	2	2	Democrat	6824
10/1/2014	JOSEPHINE	3	2	2	Independent Party	1531
10/1/2014	JOSEPHINE	3	2	2	NAV+	6612
10/1/2014	JOSEPHINE	3	2	2	Republican	10786
10/1/2014	JOSEPHINE	3	2	4	Democrat	3699
10/1/2014	JOSEPHINE	3	2	4	Independent Party	736
10/1/2014	JOSEPHINE	3	2	4	NAV+	3755
10/1/2014	JOSEPHINE	3	2	4	Republican	4741
10/1/2014	JOSEPHINE	4	2	2	Democrat	1375
10/1/2014	JOSEPHINE	4	2	2	Independent Party	315
10/1/2014	JOSEPHINE	4	2	2	NAV+	1281
10/1/2014	JOSEPHINE	4	2	2	Republican	2549
10/1/2014	JOSEPHINE	4	2	4	Democrat	102
10/1/2014	JOSEPHINE	4	2	4	Independent Party	22
10/1/2014	JOSEPHINE	4	2	4	NAV+	114
10/1/2014	JOSEPHINE	4	2	4	Republican	181
10/1/2014	KLAMATH	5	3	2	NAV+	0
10/1/2014	KLAMATH	55	28	2	Democrat	1173
10/1/2014	KLAMATH	55	28	2	Independent Party	274
10/1/2014	KLAMATH	55	28	2	NAV+	988
10/1/2014	KLAMATH	55	28	2	Republican	1804
10/1/2014	KLAMATH	56	28	2	Democrat	6796
10/1/2014	KLAMATH	56	28	2	Independent Party	1531
10/1/2014	KLAMATH	56	28	2	NAV+	6360
10/1/2014	KLAMATH	56	28	2	Republican	14105
10/1/2014	LAKE	55	28	2	Democrat	273
10/1/2014	LAKE	55	28	2	Independent Party	84
10/1/2014	LAKE	55	28	2	NAV+	283
10/1/2014	LAKE	55	28	2	Republican	675
10/1/2014	LAKE	56	28	2	Democrat	490
10/1/2014	LAKE	56	28	2	Independent Party	121
10/1/2014	LAKE	56	28	2	NAV+	436
10/1/2014	LAKE	56	28	2	Republican	1316
10/1/2014	LAKE	60	30	2	Democrat	60
10/1/2014	LAKE	60	30	2	Independent Party	19
10/1/2014	LAKE	60	30	2	NAV+	44
10/1/2014	LAKE	60	30	2	Republican	257
10/1/2014	LANE	7	4	4	Democrat	6436
10/1/2014	LANE	7	4	4	Independent Party	844
10/1/2014	LANE	7	4	4	NAV+	4450
10/1/2014	LANE	7	4	4	Republican	6099
10/1/2014	LANE	8	4	4	Democrat	19945
10/1/2014	LANE	8	4	4	Independent Party	1754
10/1/2014	LANE	8	4	4	NAV+	10740
10/1/2014	LANE	8	4	4	Republican	8673
10/1/2014	LANE	9	5	4	Democrat	4362
10/1/2014	LANE	9	5	4	Independent Party	672
10/1/2014	LANE	9	5	4	NAV+	2536
10/1/2014	LANE	9	5	4	Republican	3765
10/1/2014	LANE	11	6	4	Democrat	12553
10/1/2014	LANE	11	6	4	Independent Party	1310
10/1/2014	LANE	11	6	4	NAV+	7185
10/1/2014	LANE	11	6	4	Republican	7514
10/1/2014	LANE	12	6	4	Democrat	12491
10/1/2014	LANE	12	6	4	Independent Party	1592
10/1/2014	LANE	12	6	4	NAV+	8959
10/1/2014	LANE	12	6	4	Republican	8631
10/1/2014	LANE	13	7	4	Democrat	16287
10/1/2014	LANE	13	7	4	Independent Party	1905
10/1/2014	LANE	13	7	4	NAV+	10064
10/1/2014	LANE	13	7	4	Republican	9731
10/1/2014	LANE	14	7	4	Democrat	14328
10/1/2014	LANE	14	7	4	Independent Party	1815
10/1/2014	LANE	14	7	4	NAV+	9960
10/1/2014	LANE	14	7	4	Republican	10549
10/1/2014	LINCOLN	9	5	5	Democrat	296
10/1/2014	LINCOLN	9	5	5	Independent Party	29
10/1/2014	LINCOLN	9	5	5	NAV+	104
10/1/2014	LINCOLN	9	5	5	Republican	125
10/1/2014	LINCOLN	10	5	5	Democrat	10901
10/1/2014	LINCOLN	10	5	5	Independent Party	1563
10/1/2014	LINCOLN	10	5	5	NAV+	7379
10/1/2014	LINCOLN	10	5	5	Republican	7015
10/1/2014	LINN	11	6	4	Democrat	2283
10/1/2014	LINN	11	6	4	Independent Party	459
10/1/2014	LINN	11	6	4	NAV+	1979
10/1/2014	LINN	11	6	4	Republican	3883
10/1/2014	LINN	15	8	4	Democrat	9382
10/1/2014	LINN	15	8	4	Independent Party	1556
10/1/2014	LINN	15	8	4	NAV+	7594
10/1/2014	LINN	15	8	4	Republican	10248
10/1/2014	LINN	17	9	4	Democrat	7754
10/1/2014	LINN	17	9	4	Independent Party	1488
10/1/2014	LINN	17	9	4	NAV+	6971
10/1/2014	LINN	17	9	4	Republican	10033
10/1/2014	MALHEUR	60	30	2	Democrat	2563
10/1/2014	MALHEUR	60	30	2	Independent Party	425
10/1/2014	MALHEUR	60	30	2	NAV+	3082
10/1/2014	MALHEUR	60	30	2	Republican	5931
10/1/2014	MARION	17	9	5	Democrat	2574
10/1/2014	MARION	17	9	5	Independent Party	402
10/1/2014	MARION	17	9	5	NAV+	2092
10/1/2014	MARION	17	9	5	Republican	4040
10/1/2014	MARION	18	9	5	Democrat	5891
10/1/2014	MARION	18	9	5	Independent Party	902
10/1/2014	MARION	18	9	5	NAV+	4412
10/1/2014	MARION	18	9	5	Republican	8103
10/1/2014	MARION	19	10	5	Democrat	11408
10/1/2014	MARION	19	10	5	Independent Party	1719
10/1/2014	MARION	19	10	5	NAV+	8352
10/1/2014	MARION	19	10	5	Republican	13467
10/1/2014	MARION	20	10	5	Democrat	4707
10/1/2014	MARION	20	10	5	Independent Party	514
10/1/2014	MARION	20	10	5	NAV+	2797
10/1/2014	MARION	20	10	5	Republican	4619
10/1/2014	MARION	21	11	5	Democrat	11045
10/1/2014	MARION	21	11	5	Independent Party	1353
10/1/2014	MARION	21	11	5	NAV+	8062
10/1/2014	MARION	21	11	5	Republican	7480
10/1/2014	MARION	22	11	5	Democrat	7848
10/1/2014	MARION	22	11	5	Independent Party	975
10/1/2014	MARION	22	11	5	NAV+	6438
10/1/2014	MARION	22	11	5	Republican	5745
10/1/2014	MARION	23	12	5	Democrat	1451
10/1/2014	MARION	23	12	5	Independent Party	248
10/1/2014	MARION	23	12	5	NAV+	1241
10/1/2014	MARION	23	12	5	Republican	2367
10/1/2014	MARION	25	13	5	Democrat	6732
10/1/2014	MARION	25	13	5	Independent Party	1015
10/1/2014	MARION	25	13	5	NAV+	5128
10/1/2014	MARION	25	13	5	Republican	8343
10/1/2014	MARION	39	20	5	Democrat	8
10/1/2014	MARION	39	20	5	Independent Party	5
10/1/2014	MARION	39	20	5	NAV+	10
10/1/2014	MARION	39	20	5	Republican	21
10/1/2014	MARION	59	30	5	NAV+	0
10/1/2014	MORROW	57	29	2	Democrat	1250
10/1/2014	MORROW	57	29	2	Independent Party	251
10/1/2014	MORROW	57	29	2	NAV+	1270
10/1/2014	MORROW	57	29	2	Republican	1909
10/1/2014	MULTNOMAH	27	14	1	Democrat	41
10/1/2014	MULTNOMAH	27	14	1	Independent Party	2
10/1/2014	MULTNOMAH	27	14	1	NAV+	6
10/1/2014	MULTNOMAH	27	14	1	Republican	13
10/1/2014	MULTNOMAH	27	14	3	Democrat	731
10/1/2014	MULTNOMAH	27	14	3	Independent Party	41
10/1/2014	MULTNOMAH	27	14	3	NAV+	251
10/1/2014	MULTNOMAH	27	14	3	Republican	417
10/1/2014	MULTNOMAH	31	16	1	Democrat	1763
10/1/2014	MULTNOMAH	31	16	1	Independent Party	135
10/1/2014	MULTNOMAH	31	16	1	NAV+	980
10/1/2014	MULTNOMAH	31	16	1	Republican	921
10/1/2014	MULTNOMAH	33	17	1	Democrat	7198
10/1/2014	MULTNOMAH	33	17	1	Independent Party	655
10/1/2014	MULTNOMAH	33	17	1	NAV+	3812
10/1/2014	MULTNOMAH	33	17	1	Republican	1834
10/1/2014	MULTNOMAH	35	18	1	Democrat	2227
10/1/2014	MULTNOMAH	35	18	1	Independent Party	165
10/1/2014	MULTNOMAH	35	18	1	NAV+	982
10/1/2014	MULTNOMAH	35	18	1	Republican	734
10/1/2014	MULTNOMAH	35	18	3	Democrat	438
10/1/2014	MULTNOMAH	35	18	3	Independent Party	25
10/1/2014	MULTNOMAH	35	18	3	NAV+	197
10/1/2014	MULTNOMAH	35	18	3	Republican	102
10/1/2014	MULTNOMAH	35	18	5	Democrat	442
10/1/2014	MULTNOMAH	35	18	5	Independent Party	37
10/1/2014	MULTNOMAH	35	18	5	NAV+	222
10/1/2014	MULTNOMAH	35	18	5	Republican	212
10/1/2014	MULTNOMAH	36	18	1	Democrat	7996
10/1/2014	MULTNOMAH	36	18	1	Independent Party	609
10/1/2014	MULTNOMAH	36	18	1	NAV+	3856
10/1/2014	MULTNOMAH	36	18	1	Republican	1944
10/1/2014	MULTNOMAH	36	18	3	Democrat	14942
10/1/2014	MULTNOMAH	36	18	3	Independent Party	1513
10/1/2014	MULTNOMAH	36	18	3	NAV+	9202
10/1/2014	MULTNOMAH	36	18	3	Republican	3701
10/1/2014	MULTNOMAH	38	19	3	Democrat	9735
10/1/2014	MULTNOMAH	38	19	3	Independent Party	789
10/1/2014	MULTNOMAH	38	19	3	NAV+	4612
10/1/2014	MULTNOMAH	38	19	3	Republican	2831
10/1/2014	MULTNOMAH	38	19	5	Democrat	1259
10/1/2014	MULTNOMAH	38	19	5	Independent Party	97
10/1/2014	MULTNOMAH	38	19	5	NAV+	534
10/1/2014	MULTNOMAH	38	19	5	Republican	567
10/1/2014	MULTNOMAH	41	21	3	Democrat	9611
10/1/2014	MULTNOMAH	41	21	3	Independent Party	610
10/1/2014	MULTNOMAH	41	21	3	NAV+	4435
10/1/2014	MULTNOMAH	41	21	3	Republican	1911
10/1/2014	MULTNOMAH	42	21	3	Democrat	25296
10/1/2014	MULTNOMAH	42	21	3	Independent Party	1769
10/1/2014	MULTNOMAH	42	21	3	NAV+	15386
10/1/2014	MULTNOMAH	42	21	3	Republican	2549
10/1/2014	MULTNOMAH	43	22	3	Democrat	27603
10/1/2014	MULTNOMAH	43	22	3	Independent Party	1526
10/1/2014	MULTNOMAH	43	22	3	NAV+	14227
10/1/2014	MULTNOMAH	43	22	3	Republican	2399
10/1/2014	MULTNOMAH	44	22	3	Democrat	20411
10/1/2014	MULTNOMAH	44	22	3	Independent Party	1400
10/1/2014	MULTNOMAH	44	22	3	NAV+	12491
10/1/2014	MULTNOMAH	44	22	3	Republican	3250
10/1/2014	MULTNOMAH	45	23	3	Democrat	22914
10/1/2014	MULTNOMAH	45	23	3	Independent Party	1517
10/1/2014	MULTNOMAH	45	23	3	NAV+	11236
10/1/2014	MULTNOMAH	45	23	3	Republican	5371
10/1/2014	MULTNOMAH	46	23	3	Democrat	20354
10/1/2014	MULTNOMAH	46	23	3	Independent Party	1424
10/1/2014	MULTNOMAH	46	23	3	NAV+	12248
10/1/2014	MULTNOMAH	46	23	3	Republican	4397
10/1/2014	MULTNOMAH	47	24	3	Democrat	13644
10/1/2014	MULTNOMAH	47	24	3	Independent Party	1169
10/1/2014	MULTNOMAH	47	24	3	NAV+	9663
10/1/2014	MULTNOMAH	47	24	3	Republican	6022
10/1/2014	MULTNOMAH	48	24	3	Democrat	5939
10/1/2014	MULTNOMAH	48	24	3	Independent Party	551
10/1/2014	MULTNOMAH	48	24	3	NAV+	5323
10/1/2014	MULTNOMAH	48	24	3	Republican	2132
10/1/2014	MULTNOMAH	48	24	5	Democrat	527
10/1/2014	MULTNOMAH	48	24	5	Independent Party	61
10/1/2014	MULTNOMAH	48	24	5	NAV+	432
10/1/2014	MULTNOMAH	48	24	5	Republican	368
10/1/2014	MULTNOMAH	49	25	3	Democrat	11605
10/1/2014	MULTNOMAH	49	25	3	Independent Party	1409
10/1/2014	MULTNOMAH	49	25	3	NAV+	9150
10/1/2014	MULTNOMAH	49	25	3	Republican	7718
10/1/2014	MULTNOMAH	50	25	3	Democrat	11665
10/1/2014	MULTNOMAH	50	25	3	Independent Party	1381
10/1/2014	MULTNOMAH	50	25	3	NAV+	9037
10/1/2014	MULTNOMAH	50	25	3	Republican	8599
10/1/2014	MULTNOMAH	51	26	3	Democrat	5958
10/1/2014	MULTNOMAH	51	26	3	Independent Party	600
10/1/2014	MULTNOMAH	51	26	3	NAV+	4837
10/1/2014	MULTNOMAH	51	26	3	Republican	3367
10/1/2014	MULTNOMAH	52	26	3	Democrat	2690
10/1/2014	MULTNOMAH	52	26	3	Independent Party	344
10/1/2014	MULTNOMAH	52	26	3	NAV+	1984
10/1/2014	MULTNOMAH	52	26	3	Republican	2796
10/1/2014	POLK	10	5	5	Democrat	537
10/1/2014	POLK	10	5	5	Independent Party	92
10/1/2014	POLK	10	5	5	NAV+	499
10/1/2014	POLK	10	5	5	Republican	414
10/1/2014	POLK	20	10	5	Democrat	8376
10/1/2014	POLK	20	10	5	Independent Party	1254
10/1/2014	POLK	20	10	5	NAV+	5889
10/1/2014	POLK	20	10	5	Republican	8438
10/1/2014	POLK	23	12	5	Democrat	5422
10/1/2014	POLK	23	12	5	Independent Party	812
10/1/2014	POLK	23	12	5	NAV+	4028
10/1/2014	POLK	23	12	5	Republican	7617
10/1/2014	SHERMAN	57	29	2	Democrat	302
10/1/2014	SHERMAN	57	29	2	Independent Party	39
10/1/2014	SHERMAN	57	29	2	NAV+	238
10/1/2014	SHERMAN	57	29	2	Republican	570
10/1/2014	TILLAMOOK	10	5	5	Democrat	1878
10/1/2014	TILLAMOOK	10	5	5	Independent Party	231
10/1/2014	TILLAMOOK	10	5	5	NAV+	1092
10/1/2014	TILLAMOOK	10	5	5	Republican	1679
10/1/2014	TILLAMOOK	32	16	5	Democrat	3695
10/1/2014	TILLAMOOK	32	16	5	Independent Party	388
10/1/2014	TILLAMOOK	32	16	5	NAV+	2351
10/1/2014	TILLAMOOK	32	16	5	Republican	2976
10/1/2014	UMATILLA	57	29	2	Democrat	4249
10/1/2014	UMATILLA	57	29	2	Independent Party	788
10/1/2014	UMATILLA	57	29	2	NAV+	5361
10/1/2014	UMATILLA	57	29	2	Republican	6410
10/1/2014	UMATILLA	58	29	2	Democrat	3938
10/1/2014	UMATILLA	58	29	2	Independent Party	751
10/1/2014	UMATILLA	58	29	2	NAV+	3886
10/1/2014	UMATILLA	58	29	2	Republican	6382
10/1/2014	UNION	58	29	2	Democrat	3691
10/1/2014	UNION	58	29	2	Independent Party	688
10/1/2014	UNION	58	29	2	NAV+	3219
10/1/2014	UNION	58	29	2	Republican	6682
10/1/2014	WALLOWA	58	29	2	Democrat	1161
10/1/2014	WALLOWA	58	29	2	Independent Party	170
10/1/2014	WALLOWA	58	29	2	NAV+	872
10/1/2014	WALLOWA	58	29	2	Republican	2399
10/1/2014	WASCO	57	29	2	Democrat	331
10/1/2014	WASCO	57	29	2	Independent Party	52
10/1/2014	WASCO	57	29	2	NAV+	334
10/1/2014	WASCO	57	29	2	Republican	589
10/1/2014	WASCO	59	30	2	Democrat	4332
10/1/2014	WASCO	59	30	2	Independent Party	525
10/1/2014	WASCO	59	30	2	NAV+	3141
10/1/2014	WASCO	59	30	2	Republican	3671
10/1/2014	WASHINGTON	24	12	1	Democrat	2410
10/1/2014	WASHINGTON	24	12	1	Independent Party	328
10/1/2014	WASHINGTON	24	12	1	NAV+	1980
10/1/2014	WASHINGTON	24	12	1	Republican	2609
10/1/2014	WASHINGTON	25	13	1	Democrat	1
10/1/2014	WASHINGTON	26	13	1	Democrat	9338
10/1/2014	WASHINGTON	26	13	1	Independent Party	1310
10/1/2014	WASHINGTON	26	13	1	NAV+	6905
10/1/2014	WASHINGTON	26	13	1	Republican	10266
10/1/2014	WASHINGTON	27	14	1	Democrat	15421
10/1/2014	WASHINGTON	27	14	1	Independent Party	1675
10/1/2014	WASHINGTON	27	14	1	NAV+	9528
10/1/2014	WASHINGTON	27	14	1	Republican	9628
10/1/2014	WASHINGTON	28	14	1	Democrat	13054
10/1/2014	WASHINGTON	28	14	1	Independent Party	1496
10/1/2014	WASHINGTON	28	14	1	NAV+	10140
10/1/2014	WASHINGTON	28	14	1	Republican	8864
10/1/2014	WASHINGTON	29	15	1	Democrat	10349
10/1/2014	WASHINGTON	29	15	1	Independent Party	1266
10/1/2014	WASHINGTON	29	15	1	NAV+	9069
10/1/2014	WASHINGTON	29	15	1	Republican	8179
10/1/2014	WASHINGTON	30	15	1	Democrat	11872
10/1/2014	WASHINGTON	30	15	1	Independent Party	1596
10/1/2014	WASHINGTON	30	15	1	NAV+	10535
10/1/2014	WASHINGTON	30	15	1	Republican	9613
10/1/2014	WASHINGTON	31	16	1	Democrat	1837
10/1/2014	WASHINGTON	31	16	1	Independent Party	215
10/1/2014	WASHINGTON	31	16	1	NAV+	1605
10/1/2014	WASHINGTON	31	16	1	Republican	1803
10/1/2014	WASHINGTON	32	16	1	Democrat	1948
10/1/2014	WASHINGTON	32	16	1	Independent Party	248
10/1/2014	WASHINGTON	32	16	1	NAV+	1674
10/1/2014	WASHINGTON	32	16	1	Republican	2356
10/1/2014	WASHINGTON	33	17	1	Democrat	10429
10/1/2014	WASHINGTON	33	17	1	Independent Party	1196
10/1/2014	WASHINGTON	33	17	1	NAV+	7887
10/1/2014	WASHINGTON	33	17	1	Republican	7737
10/1/2014	WASHINGTON	34	17	1	Democrat	14215
10/1/2014	WASHINGTON	34	17	1	Independent Party	1538
10/1/2014	WASHINGTON	34	17	1	NAV+	10117
10/1/2014	WASHINGTON	34	17	1	Republican	8351
10/1/2014	WASHINGTON	35	18	1	Democrat	12951
10/1/2014	WASHINGTON	35	18	1	Independent Party	1480
10/1/2014	WASHINGTON	35	18	1	NAV+	8370
10/1/2014	WASHINGTON	35	18	1	Republican	9471
10/1/2014	WASHINGTON	37	19	1	Democrat	5090
10/1/2014	WASHINGTON	37	19	1	Independent Party	709
10/1/2014	WASHINGTON	37	19	1	NAV+	3583
10/1/2014	WASHINGTON	37	19	1	Republican	4814
10/1/2014	WASHINGTON	38	19	1	NAV+	0
10/1/2014	WHEELER	59	30	2	Democrat	267
10/1/2014	WHEELER	59	30	2	Independent Party	41
10/1/2014	WHEELER	59	30	2	NAV+	205
10/1/2014	WHEELER	59	30	2	Republican	402
10/1/2014	YAMHILL	10	5	1	Democrat	919
10/1/2014	YAMHILL	10	5	1	Independent Party	145
10/1/2014	YAMHILL	10	5	1	NAV+	906
10/1/2014	YAMHILL	10	5	1	Republican	1062
10/1/2014	YAMHILL	23	12	1	Democrat	2475
10/1/2014	YAMHILL	23	12	1	Independent Party	363
10/1/2014	YAMHILL	23	12	1	NAV+	1911
10/1/2014	YAMHILL	23	12	1	Republican	3096
10/1/2014	YAMHILL	24	12	1	Democrat	9275
10/1/2014	YAMHILL	24	12	1	Independent Party	1365
10/1/2014	YAMHILL	24	12	1	NAV+	7213
10/1/2014	YAMHILL	24	12	1	Republican	9999
10/1/2014	YAMHILL	25	13	1	Democrat	3861
10/1/2014	YAMHILL	25	13	1	Independent Party	769
10/1/2014	YAMHILL	25	13	1	NAV+	3491
10/1/2014	YAMHILL	25	13	1	Republican	5371
10/1/2014	YAMHILL	32	16	1	Republican	1
11/1/2014	BAKER	60	30	2	Democrat	2221
11/1/2014	BAKER	60	30	2	Independent Party	550
11/1/2014	BAKER	60	30	2	NAV+	2333
11/1/2014	BAKER	60	30	2	Republican	4861
11/1/2014	BENTON	15	8	4	Democrat	259
11/1/2014	BENTON	15	8	4	Independent Party	40
11/1/2014	BENTON	15	8	4	NAV+	188
11/1/2014	BENTON	15	8	4	Republican	219
11/1/2014	BENTON	15	8	5	Democrat	2072
11/1/2014	BENTON	15	8	5	Independent Party	274
11/1/2014	BENTON	15	8	5	NAV+	1412
11/1/2014	BENTON	15	8	5	Republican	2729
11/1/2014	BENTON	16	8	4	Democrat	15928
11/1/2014	BENTON	16	8	4	Independent Party	1710
11/1/2014	BENTON	16	8	4	NAV+	10660
11/1/2014	BENTON	16	8	4	Republican	7770
11/1/2014	BENTON	23	12	4	Democrat	2868
11/1/2014	BENTON	23	12	4	Independent Party	317
11/1/2014	BENTON	23	12	4	NAV+	1796
11/1/2014	BENTON	23	12	4	Republican	2488
11/1/2014	BENTON	23	12	5	Democrat	315
11/1/2014	BENTON	23	12	5	Independent Party	44
11/1/2014	BENTON	23	12	5	NAV+	263
11/1/2014	BENTON	23	12	5	Republican	345
11/1/2014	CLACKAMAS	18	9	3	Democrat	743
11/1/2014	CLACKAMAS	18	9	3	Independent Party	108
11/1/2014	CLACKAMAS	18	9	3	NAV+	661
11/1/2014	CLACKAMAS	18	9	3	Republican	910
11/1/2014	CLACKAMAS	18	9	5	Democrat	3316
11/1/2014	CLACKAMAS	18	9	5	Independent Party	531
11/1/2014	CLACKAMAS	18	9	5	NAV+	3118
11/1/2014	CLACKAMAS	18	9	5	Republican	5190
11/1/2014	CLACKAMAS	26	13	5	Democrat	3199
11/1/2014	CLACKAMAS	26	13	5	Independent Party	572
11/1/2014	CLACKAMAS	26	13	5	NAV+	2649
11/1/2014	CLACKAMAS	26	13	5	Republican	3631
11/1/2014	CLACKAMAS	35	18	5	Democrat	190
11/1/2014	CLACKAMAS	35	18	5	Independent Party	17
11/1/2014	CLACKAMAS	35	18	5	NAV+	138
11/1/2014	CLACKAMAS	35	18	5	Republican	160
11/1/2014	CLACKAMAS	37	19	5	Democrat	9431
11/1/2014	CLACKAMAS	37	19	5	Independent Party	1179
11/1/2014	CLACKAMAS	37	19	5	NAV+	5869
11/1/2014	CLACKAMAS	37	19	5	Republican	9030
11/1/2014	CLACKAMAS	38	19	5	Democrat	9973
11/1/2014	CLACKAMAS	38	19	5	Independent Party	1235
11/1/2014	CLACKAMAS	38	19	5	NAV+	5400
11/1/2014	CLACKAMAS	38	19	5	Republican	7877
11/1/2014	CLACKAMAS	39	20	3	Democrat	7975
11/1/2014	CLACKAMAS	39	20	3	Independent Party	1081
11/1/2014	CLACKAMAS	39	20	3	NAV+	6245
11/1/2014	CLACKAMAS	39	20	3	Republican	8710
11/1/2014	CLACKAMAS	39	20	5	Democrat	5142
11/1/2014	CLACKAMAS	39	20	5	Independent Party	796
11/1/2014	CLACKAMAS	39	20	5	NAV+	3464
11/1/2014	CLACKAMAS	39	20	5	Republican	6890
11/1/2014	CLACKAMAS	40	20	3	Democrat	4
11/1/2014	CLACKAMAS	40	20	3	Independent Party	1
11/1/2014	CLACKAMAS	40	20	3	NAV+	6
11/1/2014	CLACKAMAS	40	20	3	Republican	14
11/1/2014	CLACKAMAS	40	20	5	Democrat	14682
11/1/2014	CLACKAMAS	40	20	5	Independent Party	1885
11/1/2014	CLACKAMAS	40	20	5	NAV+	10297
11/1/2014	CLACKAMAS	40	20	5	Republican	11612
11/1/2014	CLACKAMAS	41	21	5	Democrat	10891
11/1/2014	CLACKAMAS	41	21	5	Independent Party	1151
11/1/2014	CLACKAMAS	41	21	5	NAV+	6729
11/1/2014	CLACKAMAS	41	21	5	Republican	5697
11/1/2014	CLACKAMAS	48	24	3	Democrat	129
11/1/2014	CLACKAMAS	48	24	3	Independent Party	14
11/1/2014	CLACKAMAS	48	24	3	NAV+	79
11/1/2014	CLACKAMAS	48	24	3	Republican	212
11/1/2014	CLACKAMAS	48	24	5	Democrat	5994
11/1/2014	CLACKAMAS	48	24	5	Independent Party	819
11/1/2014	CLACKAMAS	48	24	5	NAV+	4421
11/1/2014	CLACKAMAS	48	24	5	Republican	4573
11/1/2014	CLACKAMAS	51	26	3	Democrat	4266
11/1/2014	CLACKAMAS	51	26	3	Independent Party	555
11/1/2014	CLACKAMAS	51	26	3	NAV+	3480
11/1/2014	CLACKAMAS	51	26	3	Republican	4718
11/1/2014	CLACKAMAS	51	26	5	Democrat	2135
11/1/2014	CLACKAMAS	51	26	5	Independent Party	298
11/1/2014	CLACKAMAS	51	26	5	NAV+	1753
11/1/2014	CLACKAMAS	51	26	5	Republican	2017
11/1/2014	CLACKAMAS	52	26	3	Democrat	5763
11/1/2014	CLACKAMAS	52	26	3	Independent Party	895
11/1/2014	CLACKAMAS	52	26	3	NAV+	4964
11/1/2014	CLACKAMAS	52	26	3	Republican	5897
11/1/2014	CLACKAMAS	59	30	5	NAV+	0
11/1/2014	CLATSOP	32	16	1	Democrat	8274
11/1/2014	CLATSOP	32	16	1	Independent Party	968
11/1/2014	CLATSOP	32	16	1	NAV+	5633
11/1/2014	CLATSOP	32	16	1	Republican	5938
11/1/2014	COLUMBIA	31	16	1	Democrat	11154
11/1/2014	COLUMBIA	31	16	1	Independent Party	1251
11/1/2014	COLUMBIA	31	16	1	NAV+	7594
11/1/2014	COLUMBIA	31	16	1	Republican	8519
11/1/2014	COOS	1	1	4	Democrat	4694
11/1/2014	COOS	1	1	4	Independent Party	661
11/1/2014	COOS	1	1	4	NAV+	3332
11/1/2014	COOS	1	1	4	Republican	5348
11/1/2014	COOS	9	5	4	Democrat	7444
11/1/2014	COOS	9	5	4	Independent Party	1031
11/1/2014	COOS	9	5	4	NAV+	4930
11/1/2014	COOS	9	5	4	Republican	6383
11/1/2014	CROOK	55	28	2	Democrat	3172
11/1/2014	CROOK	55	28	2	Independent Party	717
11/1/2014	CROOK	55	28	2	NAV+	2940
11/1/2014	CROOK	55	28	2	Republican	5657
11/1/2014	CURRY	1	1	4	Democrat	3986
11/1/2014	CURRY	1	1	4	Independent Party	909
11/1/2014	CURRY	1	1	4	NAV+	3063
11/1/2014	CURRY	1	1	4	Republican	5196
11/1/2014	DESCHUTES	53	27	2	Democrat	11419
11/1/2014	DESCHUTES	53	27	2	Independent Party	2612
11/1/2014	DESCHUTES	53	27	2	NAV+	10128
11/1/2014	DESCHUTES	53	27	2	Republican	15915
11/1/2014	DESCHUTES	54	27	2	Democrat	14125
11/1/2014	DESCHUTES	54	27	2	Independent Party	2820
11/1/2014	DESCHUTES	54	27	2	NAV+	11609
11/1/2014	DESCHUTES	54	27	2	Republican	11903
11/1/2014	DESCHUTES	55	28	2	Democrat	2079
